document_name,chunk,embeddings
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L,"4
2
0
2

r
a

M
6

]
L
C
.
s
c
[

2
v
1
5
9
2
0
.
3
0
4
2
:
v
i
X
r
a

Benchmarking the Text-to-SQL Capability of Large
Language Models: A Comprehensive Evaluation

Bin Zhang1,2,3,∗ Yuxiao Ye1,4,∗ Guoqing Du1,∗ Xiaoru Hu1,∗ Zhishuai Li1 Sun Yang1
Chi Harold Liu4 Rui Zhao1 Ziyue Li1 Hangyu Mao1,(cid:66)

1Sensetime Research
2Institute of Automation, Chinese Academy of Sciences
3School of Artificial Intelligence, University of Chinese Academy of Sciences
4School of Computer Science and Technology, Beijing Institute of Technology

Abstract","[-0.02104128, 0.038364958, -0.007739938, 0.049765963, 0.039726146, 0.07311613, 0.05122497, -0.008310512, -0.052868284, 0.0016173709, -0.01876801, 0.053054787, 0.063407026, -0.0076329876, 0.04631398, 0.009306844, 0.059013627, 0.098775566, -0.06892128, 0.027404973, -0.021457197, -0.012529558, 0.018633801, -0.027722253, -0.027503746, -0.05354934, 0.0037993616, -0.016121063, 0.040266965, -0.055703424, -0.0036784108, 0.020789584, 0.009510555, -0.055220306, 0.020612316, -0.010777964, 0.0038364176, 0.024359342, 0.0018010858, -0.06562241, -0.032016527, -0.018402701, -0.013133839, 0.043880846, -0.009164274, 0.0003756927, -0.034661274, -0.001280343, -0.060182977, 0.06609944, 0.009821848, -0.050303265, -0.018047882, 0.0031316003, -0.038505115, 0.019747742, -0.04004119, -0.063769944, 0.043077003, -0.01725324, 0.0035392186, -0.058521215, 0.045172457, -0.018441824, -0.013005633, -0.05229695, -0.024128284, 0.004904985, -0.02169116, -0.033070385, 0.01762537, 0.024151206, -0.08497653, 0.03730339, 0.040518444, -0.03726119, 0.030833729, -0.003871682, 0.011415614, 0.035895776, -0.074716955, 0.042384677, 0.010778449, 0.029422596, 0.013935117, -0.007934007, 0.021637322, -0.092806496, -0.023399934, -0.031163039, 0.084659174, -0.005790895, -0.0567082, -0.027400069, 0.049264114, -0.0669897, -0.042883113, -0.072250895, 0.078382514, 0.030417318, -0.010220853, 0.016855549, -0.015498472, 0.0009479231, 0.01737192, 0.050754752, -0.00807032, -0.06085539, -0.06326687, 0.0048518972, -0.023365827, 0.030604128, 0.043052576, -0.03482194, 0.007149484, -0.013387235, -0.02067037, -0.019964214, -0.015490498, -0.028851345, 0.02411993, 0.09396245, -0.018459167, 0.029887844, 0.025109429, -0.0042785653, -0.01684515, -0.028749622, -0.041161332, -0.03722542, 0.033337172, -0.04479738, -0.03285634, -0.039025243, -0.043441035, 0.0072120205, 0.070863105, 0.015553235, -0.051184453, 0.017404517, -0.028151661, 0.0053082574, -0.032602992, -0.0069525493, -0.0021498692, -0.017504156, -0.041468464, 0.071925975, -0.009702797, -0.027646579, -0.06571713, -0.015057214, -0.04993697, 0.0023361377, -0.09058686, 0.03206755, 0.022603922, -0.013477195, 0.047535952, 0.020038964, 0.028149223, -0.07711845, 0.05207022, 0.031432696, 0.011672768, -0.04643115, 0.007915724, -0.083477005, 0.030983556, 0.024804205, -0.018009283, -0.0087744845, -0.029480848, -0.029198555, 0.038467534, 0.054061998, -0.043810956, -0.03873909, 0.0087104365, -0.017972933, 0.062333964, 0.019675495, -0.0048189694, 0.028262405, 0.004195003, -0.040516112, -0.0138974255, 0.022736225, 0.012145846, 0.08394627, -0.026811937, 0.0005052603, 0.037938222, -0.009847139, -0.005979681, 0.0025612598, 0.05955044, -0.028771212, 0.025967982, -0.06926695, 0.03376973, -0.02824084, 0.04708578, -0.02732486, -0.008513803, 0.0020299237, 0.0018465834, -0.004054898, 0.046134405, 0.018927183, -0.04844166, -0.057950906, -0.012776287, -0.06471409, 0.03050905, 0.012755968, 0.07427628, 0.014918513, 0.10272794, 0.024561442, 0.004072427, -0.04836353, -0.041746676, -0.044531953, 0.084243976, -0.0028187535, -0.019270608, 0.012872441, -0.02549721, -0.06364635, 0.033623744, 0.024884127, 0.067783065, -0.002680583, -0.0016722503, 0.009083993, -0.007796819, 0.009674096, -0.025269834, -0.0048175515, 0.008123805, 0.0342791, 0.03590298, -0.010366621, -0.029720763, 0.05797957, 0.016032016, 0.007797655, -0.0046561076, -0.023268139, -0.0077527463, 0.01809219, 0.02044414, 0.022194637, -0.032840986, -0.02553534, 0.014338917, -0.0029655083, -0.09251602, 0.03963345, 0.027176792, -0.00018830346, -0.032679908, -0.060328007, -0.042090863, -0.08988134, -0.02450138, -0.040501833, 0.053640306, 0.045889303, 0.022545723, -0.0095907925, -0.018210271, -0.047883973, -0.05529349, 0.03455956, 0.021232238, -0.021874769, -0.047783982, -0.07358481, 0.056660105, -0.04468064, -0.054901227, -0.031869568, -0.034152143, -0.029660825, 0.020807657, -0.012359713, 0.015402551, -0.052874714, 0.028344283, 0.02754783, -0.030023834, -0.06737002, 0.021909896, 0.011045896, 0.082770355, 0.075221434, 0.0116355205, -0.022820275, -0.034963075, -0.011911795, 0.0015341667, 0.04601966, 0.022390015, 0.0045309146, 0.0029100664, -0.006192641, -0.036489673, 0.012166976, 0.06940167, 0.0020029263, -0.05924923, -0.03867644, -0.036164917, -0.024894256, -0.099059336, 0.0013840817, 0.038655855, -0.010059846, -0.020488035, 0.025790505, -0.0754974, 0.019676067, 0.0851454, -0.004137421, 0.027174354, 0.031333685, 0.0013423263, -0.008918834, 0.027314361, 0.027484018, 0.036201153, -0.0388319, 0.013219356, 0.005546234, -0.015038144, 0.012038876, 0.078093156, -0.051136125, 0.044588342, 0.011906134, -0.0020955377, -0.012750103, -0.016167149, 0.027356233, -0.004677045, -0.021585451, 0.022130055, 0.07684653, 0.007923457, -0.025291666, 0.020534795, -0.029753868, -0.014943906, 0.0066612773, 0.02095547, 3.8063674e-05, 0.008293184, -0.009006598, -0.041370243, 0.01919679, -0.004482169, -0.0066908803, -0.035608202, -0.0044227093, 0.022827882, 0.007430235, -0.053729415, 0.014074529, -0.034689274, 0.027244471, 0.004924181, 0.016351942, 0.042462654, -0.034555037, -0.003722778, 0.03797316, 0.010152075, 0.012231631, 0.03261767, -0.05384209, 0.0060608895, 0.058006786, 0.009900946, 0.045647398, 0.0032541435, -0.014987546, -0.028716685, -0.018949281, 0.014860903, 0.03511508, 0.037035253, 0.026822386, 0.036228787, -0.013501138, -0.03412514, -0.0047832467, 0.038156692, 0.026123691, -0.056544915, -0.04304661, 0.00844259, -0.06564315, -0.03664259, -0.02295496, 0.05382775, 0.044433936, -0.014068267, -0.019493865, -0.0524135, -0.0073591317, -0.01871704, 0.021498974, -0.011750181, -0.040267084, 0.017262412, -0.026917452, -0.06331568, 0.038567133, 0.10730481, 0.047699474, 0.052353527, 0.04168599, 0.009823594, -0.045053978, 0.015523278, -0.027247328, 0.0040552346, -0.02361672, 0.008763979, 0.029496793, -0.041601125, 0.013998176, 0.011115034, 0.029054293, -0.017231343, -0.030432211, -0.00760911, 0.02685901, 0.009280758, 0.0057826457, -0.0021275217, 0.0008550461, -0.009610211, 0.022984896, -0.029137602, 0.0740851, -0.007861815, -0.06804517, 0.019011827, -0.0096484795, -0.00043257076, -0.06279237, -0.08971357, 0.031489097, 0.047272444, 0.038808387, -0.063275404, 0.0057920176, -0.004358278, -0.032944366, 0.023539836, -9.75963e-05, -0.014653172, -0.02280788, -0.006640437, 0.02344524, -0.019841675, 0.0356321, 0.0057507385, 0.00064393354, 0.019246412, -0.0025495465, -0.0374586, 0.021945225, 0.026992124, 0.0036959127, -0.026946459, -0.0039761327, -0.015874723, 0.008185296, -0.08100921, 0.03925067, 0.02312199, -0.041534696, 0.023683222, -0.0014671001, -0.008187263, -0.029653743, 0.021731243, 0.023770602, 0.0024505204, -0.0014290059, 0.0210043, 0.0065487204, -0.0037672531, -0.016920477, -0.0446875, 0.016751392, 0.047626592, 0.0014505241, 0.0075655496, -0.040929645, 0.034085818, 0.04842485, -0.045345537, -0.0021213987, 0.056691, -0.008232364, 0.04267678, -0.036708634, 0.03782604, 0.007588605, -0.026127495, 0.010945197, -0.020357352, 0.028910505, -0.06888866, 0.072383225, 0.025575064, -0.0036822895, 0.053513635, 0.010251304, 0.015192228, -0.01506434, 0.017909685, -0.0017493815, -0.009712499, -0.058265224, -0.012544368, 0.046920408, 0.0054448815, -0.010801124, 0.033946536, 0.048197933, 0.0782613, 0.000113303795, 0.02333041, 0.04034505, 0.042356987, 0.029943846, -0.015858335, 0.016039899, 0.028996004, 0.01622143, -0.004184806, 0.05168975, -0.02429602, 0.08182376, -0.063189976, 0.007304304, 0.023271454, 0.04393159, 0.014717494, -0.016854405, 0.01923794, 0.0006238803, -0.008724057, 0.0026978927, -0.017197061, -0.03675478, -0.006828764, 0.054123886, -0.028390797, 0.009425499, -0.09751372, 0.029440543, -0.048473105, -0.03321141, -0.015018038, -0.0077627082, 0.0074248323, -0.050730605, 0.008735405, -0.060258884, -0.021508558, 0.037110753, 0.038321774, -0.022191199, 0.026828965, -0.0088175, 0.026228491, -0.013924877, -0.053030726, -0.00548673, -0.004279969, -0.0239195, -0.0135271745, -0.03463789, -0.04138869, 0.018961594, 0.059350878, -0.043310944, 0.007888417, -0.03532125, -0.028368685, -0.01165669, 0.024611587, 0.011733158, 0.03146175, -0.033788845, 0.020684453, 5.2449053e-05, -0.012001287, -0.04837309, -0.009465659, -0.04024109, 0.0032063501, -0.014882494, 0.00045060983, 0.051200606, -0.00860898, -0.033550177, -0.082156315, 0.017163122, -0.033381823, -0.06262143, 0.028677499, 0.025468899, 0.04378968, 0.015165834, 0.0052255765, -0.038870126, 0.07268554, -0.062008657, 0.022727836, 0.009254434, 0.046142336, -0.01845187, -0.013017085, 0.011008165, 0.010335095, 0.005833066, 0.044069316, 0.025000487, 0.039640892, -0.015399021, 0.014973913, -0.048282415, 0.03460437, 0.07137022, 0.01296184, -0.020067973, 0.016291972, 0.07238616, 0.011804047, -0.0271781, -0.029522391, 0.008158591, 0.050828245, 0.03496967, -0.04157898, 0.012421671, -0.055234898, -0.0019044285, -0.040022116, -0.002441043, -0.009645821, -0.04725256, -0.00017963826, -0.016093459, 0.00300284, 0.017541124, -0.027817635, -0.013520561, -0.06325546, -0.016174542, 0.0023274792, -0.060042266, 0.017753195, -0.028428642, -0.01647818, 0.064284496, -0.016626142, 0.03009948, 0.07198638, 0.0050822105, -0.025960675, 0.05180968, -0.029296279, 0.0128839025, -0.018022688, -0.012605402, 0.040170785, 0.0010746298, 0.007473483, -0.018531239, 0.004427375, -0.064184986, 0.008669726, 0.008641629, 0.009825597, 0.04330012, 0.042887453, 0.07618216, -0.011443211, 0.062125612, -0.04860026, -0.020906186, 0.008335746, 0.00027098367, -0.07558637, 0.0027566943, 0.013730491, -0.0072118696, 0.058574464, -0.0077175996, -0.123964176, 0.005548605, -0.00011957076, 0.053110745, 0.03524512, -0.027666638, -0.002830589, 0.04100979, -0.050896637, 0.028358847, 0.035576064, -0.043482937, -0.002432785, 0.0053151743, 0.04658328, 0.015876235, 0.0078968145, 0.0006783268, -0.034573797, 0.025765931, 0.015842108, -0.010536273, 0.053774662, -0.024800904, -0.052664757, -0.033144668, -0.016304541, 0.0005938533, -0.031975314, 0.020106172, 0.0018938577, -0.019916885, 0.019893521, -0.022374198, -0.06722984, 0.018850649, -0.03298437, 0.03158296, -0.0247579, -0.031071186, -0.008604663, -0.017149037, -0.03248469, -0.009194812, -0.01627701, 0.010707439, 0.015608263, 0.008521264, -0.026408847, 0.017817624, 0.03771255, 0.002195637, 0.012850405, 0.014371169, -0.020511866, 0.0117365755, 0.0020392016, -0.020607572, 0.0917977, -0.0010183913]"
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L,"1Sensetime Research
2Institute of Automation, Chinese Academy of Sciences
3School of Artificial Intelligence, University of Chinese Academy of Sciences
4School of Computer Science and Technology, Beijing Institute of Technology

Abstract

Large Language Models (LLMs) have emerged as a powerful tool in advancing the
Text-to-SQL task, significantly outperforming traditional methods. Nevertheless,
as a nascent research field, there is still no consensus on the optimal prompt
templates and design frameworks. Additionally, existing benchmarks inadequately
explore the performance of LLMs across the various sub-tasks of the Text-to-SQL
process, which hinders the assessment of LLMs’ cognitive capabilities and the
optimization of LLM-based solutions. To address the aforementioned issues, we
firstly construct a new dataset designed to mitigate the risk of overfitting in LLMs.
Then we formulate five evaluation tasks to comprehensively assess the performance
of diverse methods across various LLMs throughout the Text-to-SQL process. Our
study highlights the performance disparities among LLMs and proposes optimal
in-context learning solutions tailored to each task. These findings offer valuable
insights for facilitating the development of LLM-based Text-to-SQL systems.

1

Introduction","[-0.044249386, -0.009757335, -0.020757435, 0.04684053, 0.055769756, 0.07815492, 0.050405405, 0.004930572, -0.029196253, -0.02070657, -0.017050704, 0.03874614, 0.03068631, -0.0011217246, 0.050948292, 0.020022733, 0.056177005, 0.08184162, -0.07284757, 0.03593876, -0.0036311557, -0.024097733, -0.01225191, -0.055676848, -0.017432546, -0.050418485, 0.011611475, -0.011581242, 0.031835526, -0.08747277, -0.024058068, 0.029138794, 0.027221188, -0.05104075, 0.011597637, -0.023388423, -0.00844377, 0.023476217, -0.019115701, -0.06942047, -0.036578547, 0.008203464, -0.036259674, 0.04143864, -0.043746453, 0.010411926, -0.06518215, 0.03805489, -0.06854226, 0.045350827, 0.00012231787, -0.07703454, -0.007843869, 0.0022320221, -0.052377526, -0.0060915663, -0.053135976, -0.018548962, 0.057653602, -0.01687764, 0.021417204, -0.067150205, 0.027980456, -0.008939175, -0.004514756, -0.01091829, -0.024046492, -0.016381279, -0.020674644, -0.038554028, 0.06250886, 0.04405077, -0.09682069, 0.015869938, 0.030963128, -0.00827025, 0.00076237606, -0.013757325, -0.008127408, 0.019369092, -0.022318773, 0.018318305, 0.064361215, 0.06776904, 0.0014109843, -0.030035373, -0.0024317217, -0.08547675, -0.041081488, -0.004572239, 0.02435427, 0.008782244, -0.027220085, -0.0041825343, 0.09874411, -0.05778203, -0.047971636, -0.033521425, 0.069584794, 0.058814425, -0.012436549, 0.0073778294, -0.021142095, -0.033466768, 0.019263983, 0.060263656, -0.004063873, -0.05861604, -0.07571027, 0.0063116243, 0.017474916, 0.06222248, 0.011483382, -0.028829178, 0.039443005, 0.010379153, -0.011401666, -0.03441504, -0.0033595534, -0.008117657, 0.0037921877, 0.100249894, -0.018516041, 0.050713062, 0.051715698, 0.009625995, -0.0019908973, -0.027102796, -0.03285577, -0.024083346, 0.05788511, -0.038098536, -0.047478754, -0.029157523, -0.05098901, 0.010785112, 0.048226435, 0.023122935, -0.04598928, 0.057683073, -0.00822563, -0.010357501, -0.05142332, 0.011522203, 0.002109749, -0.025066782, 0.005963975, 0.08878414, -0.0048665283, 0.006041727, -0.058623422, -0.052812736, -0.04307432, 0.0050890925, -0.07234407, 0.052162193, 0.032495104, -0.0019560468, 0.06461015, 0.015543767, 0.007338296, -0.085156344, 0.04045027, 0.031673536, -0.029177738, -0.017065687, 0.009412071, -0.04768614, 0.015067002, 0.03211311, -0.011154838, -0.014532889, -0.031000052, -0.026476057, 0.040051617, 0.033332653, -0.015772546, -0.058013808, -0.035914548, -0.021433152, 0.06465236, 0.038631458, -0.027189685, 0.0024794408, 0.0060237665, -0.021356374, -0.019609159, -0.001684182, 0.026610395, 0.08839404, -0.012520783, -0.007217462, 0.037754573, -0.017121706, -0.022805432, 0.00054038013, 0.05081749, -0.013818671, 0.011967179, -0.059351098, 0.030231994, -0.019883515, 0.04078633, -0.036517896, 0.014254567, 0.011747623, -0.00893064, -0.026852062, 0.051301833, 0.010288739, -0.03452451, -0.042367574, -0.0124774445, -0.062705696, 0.02364275, 0.0072748736, 0.05799297, -0.00322805, 0.12549807, 0.022206092, 0.0005260338, -0.048669953, -0.042922996, -0.028524322, 0.092940204, 0.07128467, -0.04758187, -2.7774933e-05, -0.024704961, -0.075873084, 0.020705467, 0.022268377, 0.04152088, -0.009077831, -0.0020629987, 0.010047516, -0.010325966, 0.028594857, -0.020766916, -0.027846739, -0.0032568113, 0.045718897, -0.0031245325, -0.007763228, 0.0001794542, 0.046399783, 0.00632915, -0.008075066, -0.015452048, -0.054558314, 6.739614e-05, 0.017033165, 0.034184676, 0.01881574, -0.04927891, -0.009137925, -0.0029138543, 0.0043920586, -0.0803429, 0.03003529, 0.024315948, -0.04068709, -0.06744303, -0.06688963, -0.003939538, -0.079091735, -0.042831045, -0.024238288, 0.04257563, 0.02542925, -0.020520743, -0.005998469, -0.013612576, -0.03971166, -0.037755106, 0.015198407, 0.015178714, -0.014160478, -0.049364306, -0.06053993, 0.02700046, -0.03223491, -0.03413859, -0.056375884, -0.018467998, -0.028219901, -0.0056275753, -0.009425622, -0.008428301, -0.031595632, 0.030220466, 0.00085828156, 0.00204139, -0.058952477, 0.01601264, 0.002932055, 0.07287613, 0.05844635, 0.015259385, 0.0047961194, -0.021049421, 0.002830576, 0.0051652817, 0.071833186, 0.041006323, 0.011489858, -0.006946523, -0.0059576225, -0.047107607, 0.014333272, 0.06476081, -0.004293974, -0.070515506, -0.015525563, -0.010026354, -0.022821877, -0.09606314, 0.0069286115, 0.024251174, -0.017352981, -0.002740001, 0.042920515, -0.052008387, -0.017797744, 0.058647536, 0.0032146312, 0.012400645, 0.03734109, 0.015251061, -0.022557354, 0.028344905, 0.009034793, 0.009900562, -0.033413924, -0.005006863, -0.015775088, -0.01327689, -0.00093404896, 0.08582496, -0.039367232, 0.030477049, 0.035399884, 0.019889958, -0.007847831, -0.021994794, 0.024869667, -0.0037399512, -0.010001882, 0.030705778, 0.09208255, 0.009311754, -0.020625502, 0.032309413, -0.006599083, 0.0011614945, -0.011265092, 0.0038930022, 0.009543766, -0.013387894, -0.053327274, -0.030326782, -0.00069592654, -0.039511833, -0.017416436, -0.010519922, -0.019899197, 0.030963337, -0.009926557, -0.049001593, 0.02304236, -0.02643611, 0.0149161145, 0.010535694, 0.008076225, 0.024857631, -0.047470298, -0.00054422516, 0.036918554, 0.009145008, -0.018286066, 0.018547729, -0.063051745, -0.0076469565, 0.055629745, -0.0087292455, 0.05261216, 8.165669e-05, -0.012960783, 0.02113147, -0.018029785, 0.035871405, 0.034140818, 0.04776746, 0.058716886, 0.04096009, -0.03199715, -0.049974985, 0.009119649, 0.018012917, 0.013557776, -0.029153218, -0.025998972, 0.026722062, -0.07098916, -0.029504258, 0.0024965217, 0.05640701, 0.04631874, -0.027857298, -0.0066694594, -0.051993877, -0.011694764, -0.0126796765, 0.028693378, -0.027796727, -0.0074335383, 0.039387733, -0.024104282, -0.04604741, 0.046869785, 0.059877913, 0.021311915, 0.036285207, 0.028432118, 0.016677272, -0.07664637, -0.010946755, -0.003708673, -0.0036784485, 0.014680961, -0.015919298, 0.05042627, -0.028658547, -0.0009757657, -0.028861891, 0.011463078, 0.013493222, -0.038258784, 0.0036696831, -0.011060862, -0.01910812, 0.014141307, -0.010162196, 0.0022768981, 0.013842263, 0.019881533, 0.021041539, 0.06990264, -0.017071752, -0.06597186, 0.043618366, -0.035862777, -0.010984826, -0.08181403, -0.104502015, 0.038618814, 0.03743348, 0.029140685, -0.053464975, -0.02084827, -0.0057140267, -0.008375816, 0.03515883, -0.01913773, -0.023441352, -0.016912254, -0.016530275, 0.030756354, -0.007929433, 0.062031627, 0.04035263, 0.0107969465, 0.026619831, -0.019860022, -0.06585424, -0.0013362197, 0.026078904, 0.0016040158, -0.007131239, -0.031819887, -0.0060758707, 0.020342493, -0.05196407, 0.019750658, 0.041622672, -0.02849538, -0.0054343063, 0.015584704, 0.0017286742, -0.019328367, -0.0025865668, 0.026386485, 0.010112847, 0.005442529, 0.008327028, 0.0014416269, -0.016480928, 0.0012757875, -0.063221075, 0.026706, 0.027524177, -0.02197828, 0.014185636, -0.045036938, 0.029790554, 0.049165018, -0.047768746, -0.020838117, 0.06558241, -0.02639332, 0.045955304, -0.026902204, 0.023986207, -0.0077438406, -0.00239168, 0.0068240697, -0.04614653, 0.028258111, -0.05972516, 0.061794203, 0.021211287, 0.011522631, 0.048366517, 0.022325577, 0.025896428, -0.033827826, 0.023257945, 0.012450234, 0.0031750023, -0.09587376, -0.019333994, 0.047715493, 0.0073271, -0.042868324, 0.016508138, 0.018038334, 0.07098933, 0.029690089, 0.021493264, 0.035443567, 0.061450616, 0.026178766, -0.026632795, 0.03087788, -0.0071938736, 0.0021150985, -0.0035920776, 0.06695953, 0.007435609, 0.103777125, -0.06110711, 0.03711148, 0.028590018, 0.029091321, 0.010840368, 0.00077058375, 0.0069491537, 0.016819755, -0.035278004, -0.00983074, -0.030036865, -0.039634734, -0.0064600557, -0.011239549, 0.009249397, 0.015330495, -0.08600309, 0.023902986, -0.022874326, -0.02736078, -0.038384203, -0.0012975238, 0.009788474, -0.043681573, -0.0050092093, -0.03925731, -0.018244507, 0.048089314, 0.032612026, -0.0026502127, 0.003661706, -0.034608513, 0.021089444, -0.012326889, -0.023507902, -0.0032750221, 0.008360638, -0.005889564, -0.010928225, -0.060197793, -0.020033443, 0.024496187, 0.03012755, -0.033416744, -0.0061801104, -0.018948141, -0.018983454, 0.0026337402, 0.043394487, 0.015777154, 0.03420037, -0.054836366, 0.036562726, -0.02140533, 0.012596191, -0.056147475, -0.026013125, -0.014476379, 0.0014861074, -0.012622226, -0.0038830522, 0.054354094, -0.004765694, -0.015539702, -0.07492692, 0.025963059, -0.043335855, -0.049154412, -0.016317219, 0.062567495, 0.041829705, 0.020888941, 0.020455038, -0.059208885, 0.07703891, -0.049451232, 0.013646352, 0.032663617, 0.055139404, 0.014642347, -0.02729349, 0.02633673, -0.0013323887, -0.032886278, 0.039095923, 0.03953834, 0.007444856, -0.009717852, 0.017220011, -0.036735255, -0.010552304, 0.035926025, -0.0019449892, -0.029473504, 0.0214194, 0.078072794, 0.020175599, -0.037309106, -0.0048349192, 0.02919428, 0.058338024, 0.056191094, -0.026409905, 0.03383052, -0.05081249, -0.0023712143, -0.0054469886, -0.01107018, 0.0022242095, -0.015965998, 0.0049199504, -0.03445379, -0.02439051, 0.023936788, -0.04900136, 0.0061138235, -0.067148976, -0.0023730798, 0.040067133, -0.055162765, 0.027589437, -0.031049434, 0.003413168, 0.0075013423, -0.001986289, 0.012350739, 0.045041744, -0.022037964, -0.02817234, 0.052881274, -0.003068837, -0.0052432762, -0.0016160856, -0.02601553, 0.050281893, -0.0131957, 0.011087576, -0.04128343, -0.011325149, -0.051416937, -0.0042683673, 0.01027788, 0.019852607, 0.0026630003, 0.05009712, 0.060059227, -0.008034081, 0.056005884, -0.051375415, -0.03969189, -0.0059443004, 0.009292069, -0.030330341, 0.0014303443, -0.0060835066, 0.0065316274, 0.08242699, -0.006675356, -0.1190364, -0.0004615241, -0.019914815, 0.035414487, 0.061806403, -0.009994474, -0.036066875, 0.024969952, -0.03522002, 0.0109410165, 0.022351328, -0.058118336, -0.024898125, 0.008985936, 0.04783026, 0.03144453, 0.017544493, 0.003758409, -0.035468817, 0.009515541, 0.04007326, -0.03343326, 0.032011792, -0.0028465425, -0.042463757, -0.024867745, -0.04483143, -0.016387114, 0.0031006252, 0.031003632, 0.027476072, -0.008209901, -0.0042983117, -0.034380328, -0.061208323, 0.0056318576, -0.010418278, 0.037515033, -0.0005515676, 0.0033659725, -0.02327127, -0.038662277, -0.04365426, -0.019237282, 0.003292504, 0.01001589, 0.033262692, 0.007952946, -0.007830296, 0.0060953507, 0.021979827, 0.0007953755, 0.030083416, 0.0023488642, -0.011935113, 0.020619528, 0.004948821, -0.009020161, 0.10865839, 0.05073322]"
